ID,UK_HS,UK_casecontrol,UK_FCI,Sex,Birth_Year,Birth_Month,HD_Year,HD_Age,PC1,PC2,Group
644,10,1,1,1,2015,1,2016,1.19,0.00703586,-0.0195304,1
645,-9,-9,-9,2,-9,-9,-9,-9,-0.0545598,0.0520384,1
646,-9,-9,-9,2,-9,-9,-9,-9,0.069677,0.0122682,1
647,-9,-9,-9,1,-9,-9,-9,-9,-0.0484869,0.0209164,1
648,-9,-9,-9,2,-9,-9,-9,-9,-0.0669084,0.0339452,1
649,-9,-9,-9,1,-9,-9,-9,-9,-0.0598836,0.0514029,1
650,-9,-9,-9,2,-9,-9,-9,-9,0.0680746,0.0253807,1
651,-9,-9,-9,2,-9,-9,-9,-9,0.0110146,0.00222809,1
652,-9,-9,-9,1,-9,-9,-9,-9,0.0692728,0.0239305,1
653,-9,-9,-9,1,-9,-9,-9,-9,0.0798715,0.0236935,1
654,-9,-9,-9,1,-9,-9,-9,-9,0.0805732,0.0339033,1
655,-9,-9,-9,1,-9,-9,-9,-9,-0.0321596,-0.147893,1
656,-9,-9,-9,1,-9,-9,-9,-9,-0.0501017,0.0475698,1
657,-9,-9,-9,1,-9,-9,-9,-9,-0.0618128,0.0436286,1
658,9,1,1,2,2014,12,2016,1.05,0.0838564,0.0361836,1
659,9,1,1,2,2015,2,2016,1.09,0.0791789,0.0371269,1
660,-9,-9,-9,2,-9,-9,-9,-9,-0.0211319,-0.0524116,1
661,-9,-9,-9,1,-9,-9,-9,-9,-0.0263827,0.0224619,1
662,-9,-9,-9,1,-9,-9,-9,-9,-0.0329229,-0.0819255,1
663,-9,-9,-9,2,-9,-9,-9,-9,-0.0269486,0.0260523,1
664,-9,-9,-9,1,-9,-9,-9,-9,-0.00533045,0.0351693,1
665,-9,-9,-9,1,-9,-9,-9,-9,-0.0679609,0.0367755,1
666,-9,-9,-9,2,-9,-9,-9,-9,-0.0584999,0.0361875,1
667,-9,-9,-9,1,-9,-9,-9,-9,-0.103746,0.0942633,1
668,-9,-9,-9,1,-9,-9,-9,-9,0.0651448,0.00464225,1
669,-9,-9,-9,2,-9,-9,-9,-9,0.077935,0.016089,1
670,-9,-9,-9,2,-9,-9,-9,-9,-0.0402318,0.00602014,1
671,-9,-9,-9,1,-9,-9,-9,-9,0.0597856,0.0101968,1
672,-9,-9,-9,1,-9,-9,-9,-9,-0.0351749,0.0176166,1
673,-9,-9,-9,1,-9,-9,-9,-9,-0.0176484,0.0286798,1
674,-9,-9,-9,1,-9,-9,-9,-9,-0.020708,0.0179995,1
675,-9,-9,-9,2,-9,-9,-9,-9,0.0730483,0.0174402,1
676,14,2,2,2,2010,10,2011,1.09,-0.0446346,-0.146666,1
677,-9,-9,-9,1,-9,-9,-9,-9,-0.0412624,0.00225785,1
678,-9,-9,-9,1,-9,-9,-9,-9,-0.0312814,-0.0740601,1
679,-9,-9,-9,1,-9,-9,-9,-9,0.0305735,-0.0046191,1
680,-9,-9,-9,2,-9,-9,-9,-9,0.0697884,0.0312865,1
681,-9,-9,-9,1,-9,-9,-9,-9,0.0675612,0.0385946,1
682,-9,-9,-9,1,-9,-9,-9,-9,-0.0696112,0.0916579,1
683,6,1,1,1,2007,2,2013,6.39,-0.0669764,0.0120541,1
684,-9,-9,-9,2,-9,-9,-9,-9,-0.0307393,0.0364264,1
685,11,2,2,2,2011,9,2014,2.42,0.0788888,0.00184935,1
686,-9,-9,-9,1,-9,-9,-9,-9,-0.042289,0.0506038,1
687,-9,-9,-9,1,-9,-9,-9,-9,-0.018269,-0.089689,1
688,-9,-9,-9,2,-9,-9,-9,-9,0.065877,-0.00587659,1
689,11,2,2,2,2014,2,2017,2.97,-0.0497371,0.042622,1
690,-9,-9,-9,2,-9,-9,-9,-9,0.0661468,-0.00462531,1
691,7,1,1,2,2014,11,2018,3.53,-0.0627976,0.0159835,1
692,-9,-9,-9,2,-9,-9,-9,-9,0.0360083,-0.0374671,1
